# time(days) eclipse_dt(seconds) gw_freq(hertz)
3.485093810223050696e+03 -2.384713977764477022e+03 4.821775482074488334e-03
3.495597941850620828e+03 -2.399110777582973242e+03 4.821775712276506372e-03
3.503328321703460460e+03 -2.409733592389966361e+03 4.821775881690730341e-03
3.512467037370474827e+03 -2.422321960242697969e+03 4.821776081969200364e-03
3.520863935466952626e+03 -2.433917401742655784e+03 4.821776265990478615e-03
3.533991122960338998e+03 -2.452100468601565808e+03 4.821776553677936672e-03
3.544342200868522013e+03 -2.466485934816591907e+03 4.821776780525910237e-03
3.554939341159980813e+03 -2.481256953044794500e+03 4.821777012766477293e-03
3.566600651383997501e+03 -2.497562246522284113e+03 4.821777268328802067e-03
3.572870364977663485e+03 -2.506350874577765353e+03 4.821777405732128631e-03
3.584814675191045353e+03 -2.523136634631373454e+03 4.821777667496591167e-03
3.592355362321174198e+03 -2.533762676182959694e+03 4.821777832753873852e-03
3.602994461905505432e+03 -2.548792854697967414e+03 4.821778065914182620e-03
3.612925155501673544e+03 -2.562862353325181175e+03 4.821778283549515987e-03
3.622328971386079502e+03 -2.576221085998986382e+03 4.821778489638135247e-03
3.634902793080490028e+03 -2.594137275274260901e+03 4.821778765198829302e-03
3.644854581778165084e+03 -2.608361395105021074e+03 4.821778983296587037e-03
3.653712731460305349e+03 -2.621055087923014071e+03 4.821779177426802412e-03
3.662190668374027609e+03 -2.633232794239302166e+03 4.821779363224516432e-03
3.671162856457515772e+03 -2.646151182713219896e+03 4.821779559853989552e-03
3.680722269408307056e+03 -2.659949854623118881e+03 4.821779769352788070e-03
3.691787904737851477e+03 -2.675967515209049452e+03 4.821780011861164297e-03
3.703690278038982342e+03 -2.693250039598206058e+03 4.821780272707079477e-03
3.717882816845152320e+03 -2.713930652780982200e+03 4.821780583743079385e-03
3.728318079784254678e+03 -2.729186821995244827e+03 4.821780812436701584e-03
3.735514964109430821e+03 -2.739733454064116813e+03 4.821780970159779238e-03
3.750424573046472233e+03 -2.761647366308898199e+03 4.821781296910874169e-03
3.759957029775516276e+03 -2.775703769207757432e+03 4.821781505819191030e-03
3.766596209502548390e+03 -2.785514874028740451e+03 4.821781651319988204e-03
3.773146880732185309e+03 -2.795212148819700815e+03 4.821781794881094783e-03
3.786379242999871167e+03 -2.814852050393528771e+03 4.821782084874718516e-03
3.793406344116173841e+03 -2.825309853829094209e+03 4.821782238877066716e-03
3.803554059165359376e+03 -2.840446005793637596e+03 4.821782461269222622e-03
3.814518346951245803e+03 -2.856845591359888203e+03 4.821782701557013155e-03
3.825865168383058062e+03 -2.873867048317333683e+03 4.821782950228264281e-03
3.837667854410132804e+03 -2.891625996441871393e+03 4.821783208890065460e-03
3.853519937799552736e+03 -2.915563955288962461e+03 4.821783556296526697e-03
3.863898506643530709e+03 -2.931289904584991746e+03 4.821783783748185767e-03
3.873659745470130474e+03 -2.946119053407164756e+03 4.821783997670776346e-03
3.884430846634023055e+03 -2.962525793634995352e+03 4.821784233725061840e-03
3.896943514786221385e+03 -2.981642522809852380e+03 4.821784507946747129e-03
3.906569137958289957e+03 -2.996390292572323233e+03 4.821784718897366082e-03
3.916723443568453604e+03 -3.011987510962353554e+03 4.821784941434377469e-03
3.930357085266025024e+03 -3.032992735924199224e+03 4.821785240222950346e-03
3.940957971643937526e+03 -3.049375864055764396e+03 4.821785472547109389e-03
3.947473001219133039e+03 -3.059466403245460242e+03 4.821785615327526218e-03
3.959823826814180393e+03 -3.078641227024490945e+03 4.821785886002631812e-03
3.972125855634699747e+03 -3.097799839089566376e+03 4.821786155608384465e-03
3.982580954122257026e+03 -3.114128841631463729e+03 4.821786384737682465e-03
3.990915722884895786e+03 -3.127177015166671481e+03 4.821786567398803937e-03
4.002494070987680061e+03 -3.145348316662420984e+03 4.821786821144823793e-03
4.013072311661851018e+03 -3.161996046180138364e+03 4.821787052972968148e-03
4.020303724074836282e+03 -3.173401920383912511e+03 4.821787211453498062e-03
4.032375509499328473e+03 -3.192488111076818313e+03 4.821787476013604523e-03
4.043569786018913874e+03 -3.210238045368168969e+03 4.821787721342648929e-03
4.053348391206219731e+03 -3.225783521078119520e+03 4.821787935646473615e-03
4.064933195156484544e+03 -3.244248981877171900e+03 4.821788189534241195e-03
4.074859946499805574e+03 -3.260113535738491919e+03 4.821788407084852401e-03
4.084127438205773615e+03 -3.274959411486634053e+03 4.821788610187433162e-03
4.094676889215025767e+03 -3.291899942832242232e+03 4.821788841384951757e-03
4.106522254555515246e+03 -3.310973564756568521e+03 4.821789100983253813e-03
4.116081752010479249e+03 -3.326406615728046745e+03 4.821789310485425500e-03
4.129990887304173157e+03 -3.348925902796327136e+03 4.821789615312601154e-03
4.137629000240966889e+03 -3.361324539355700836e+03 4.821789782706530601e-03
4.150811704551943876e+03 -3.382777374645229429e+03 4.821790071613630234e-03
4.161886853554779009e+03 -3.400853234421811067e+03 4.821790314332405000e-03
4.171153704822986583e+03 -3.416014764772262424e+03 4.821790517421244149e-03
4.181588326079688159e+03 -3.433127250926918350e+03 4.821790746102531597e-03
4.190694346963017779e+03 -3.448095805873163044e+03 4.821790945666737035e-03
4.197467325214103766e+03 -3.459250401437748224e+03 4.821791094100858800e-03
4.205776732793780866e+03 -3.472959989053197205e+03 4.821791276206827993e-03
4.213804305883753841e+03 -3.486230330471880734e+03 4.821791452136237922e-03
4.221522536617459991e+03 -3.499013160783215426e+03 4.821791621286234016e-03
4.231353388369784625e+03 -3.515328758658142760e+03 4.821791836735711718e-03
4.241512510244483565e+03 -3.532229037026991136e+03 4.821792059379479724e-03
4.251303463432157514e+03 -3.548555196649977006e+03 4.821792273954626437e-03
4.263008999949045574e+03 -3.568123278659186326e+03 4.821792530489165708e-03
4.273275274549641836e+03 -3.585329642312717624e+03 4.821792755481373732e-03
4.284615161659404293e+03 -3.604383495112415403e+03 4.821793004002555665e-03
4.293049997595134300e+03 -3.618588882411131635e+03 4.821793188857635692e-03
4.304932825387953017e+03 -3.638648549839854240e+03 4.821793449277810700e-03
4.317245369609915542e+03 -3.659492122032679617e+03 4.821793719115566139e-03
4.329947278486363757e+03 -3.681057222071103752e+03 4.821793997486570338e-03
4.343735899807675196e+03 -3.704539041873067617e+03 4.821794299673685946e-03
4.353098984889928033e+03 -3.720526799259823747e+03 4.821794504872170886e-03
4.363925503351642874e+03 -3.739056330776656978e+03 4.821794742142851420e-03
4.373480306217530597e+03 -3.755447562466724776e+03 4.821794951543036112e-03
4.385047240309228073e+03 -3.775338566856225953e+03 4.821795205040527339e-03
4.395673297281191481e+03 -3.793657899336540140e+03 4.821795437918078783e-03
4.407466510758207733e+03 -3.814041322097182274e+03 4.821795696374738503e-03
